x,Uy
0.0125,0.0213593
0.0375,0.0571751
0.0625,0.0865565
0.0875,0.110113
0.1125,0.128525
0.1375,0.14248
0.1625,0.152628
0.1875,0.15954
0.2125,0.163697
0.2375,0.16547
0.2625,0.165128
0.2875,0.162843
0.3125,0.158701
0.3375,0.152716
0.3625,0.144851
0.3875,0.135025
0.4125,0.123137
0.4375,0.109078
0.4625,0.0927428
0.4875,0.074052
0.5125,0.0529639
0.5375,0.0294952
0.5625,0.00374214
0.5875,-0.0240956
0.6125,-0.0536845
0.6375,-0.0845268
0.6625,-0.115926
0.6875,-0.146952
0.7125,-0.176421
0.7375,-0.202887
0.7625,-0.22467
0.7875,-0.239946
0.8125,-0.246894
0.8375,-0.243937
0.8625,-0.230035
0.8875,-0.204986
0.9125,-0.169649
0.9375,-0.12596
0.9625,-0.0766995
0.9875,-0.0251574
