model,display_model,result_status,field,final_time,requested_offset_iterations,target_iteration,comparison_time,comparison_iteration,actual_offset_iterations,available,relative_l2,reason
kEpsilon,kEpsilon (not converged),provisional_incomplete_convergence,U,1098,100,998.0,998,998.0,100.0,True,0.003103252449708252,
kEpsilon,kEpsilon (not converged),provisional_incomplete_convergence,p,1098,100,998.0,998,998.0,100.0,True,0.02133588307298357,
kEpsilon,kEpsilon (not converged),provisional_incomplete_convergence,k,1098,100,998.0,998,998.0,100.0,True,0.016338965036167104,
kEpsilon,kEpsilon (not converged),provisional_incomplete_convergence,nut,1098,100,998.0,998,998.0,100.0,True,0.01756842604047456,
kEpsilon,kEpsilon (not converged),provisional_incomplete_convergence,epsilon,1098,100,998.0,998,998.0,100.0,True,0.009269481967651205,
kEpsilon,kEpsilon (not converged),provisional_incomplete_convergence,U,1098,500,598.0,600,600.0,498.0,True,0.03953185152456189,
kEpsilon,kEpsilon (not converged),provisional_incomplete_convergence,p,1098,500,598.0,600,600.0,498.0,True,0.17189068882335581,
kEpsilon,kEpsilon (not converged),provisional_incomplete_convergence,k,1098,500,598.0,600,600.0,498.0,True,0.17606447883353094,
kEpsilon,kEpsilon (not converged),provisional_incomplete_convergence,nut,1098,500,598.0,600,600.0,498.0,True,0.17940484264627674,
kEpsilon,kEpsilon (not converged),provisional_incomplete_convergence,epsilon,1098,500,598.0,600,600.0,498.0,True,0.10259674444843286,
kOmegaSST,kOmegaSST (not converged),provisional_incomplete_convergence,U,1802,100,1702.0,1702,1702.0,100.0,True,0.0014034400644480302,
kOmegaSST,kOmegaSST (not converged),provisional_incomplete_convergence,p,1802,100,1702.0,1702,1702.0,100.0,True,0.005341480827720202,
kOmegaSST,kOmegaSST (not converged),provisional_incomplete_convergence,k,1802,100,1702.0,1702,1702.0,100.0,True,0.014002296306883825,
kOmegaSST,kOmegaSST (not converged),provisional_incomplete_convergence,nut,1802,100,1702.0,1702,1702.0,100.0,True,0.006032038613807633,
kOmegaSST,kOmegaSST (not converged),provisional_incomplete_convergence,omega,1802,100,1702.0,1702,1702.0,100.0,True,0.06926176806640424,
kOmegaSST,kOmegaSST (not converged),provisional_incomplete_convergence,U,1802,500,1302.0,1300,1300.0,502.0,True,0.0167763191138462,
kOmegaSST,kOmegaSST (not converged),provisional_incomplete_convergence,p,1802,500,1302.0,1300,1300.0,502.0,True,0.12100194632707993,
kOmegaSST,kOmegaSST (not converged),provisional_incomplete_convergence,k,1802,500,1302.0,1300,1300.0,502.0,True,0.05832294000642096,
kOmegaSST,kOmegaSST (not converged),provisional_incomplete_convergence,nut,1802,500,1302.0,1300,1300.0,502.0,True,0.0807312892725193,
kOmegaSST,kOmegaSST (not converged),provisional_incomplete_convergence,omega,1802,500,1302.0,1300,1300.0,502.0,True,0.0678314012218562,
